NAME,ELEVATION,MONTAIN RANGE,REGION,GEO_COORDINATES,LATITUDE,LONGITUDE,KGP,DIADEM,KGS,KS,KNSSP,TZK,KBW,KMSL,DOG_FRIENDLY
Szczeliniec Wielki,919,Góry Stołowe,Sudety Środkowe,"50,4841175; 16,3433970","50,4841175","16,3433970",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,TRUE
Łysica,612,Góry Swiętokrzyskie,,"50,8916037; 20,8967847","50,8916037","20,8967847",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Ślęża,718,Masyw Ślęży,Przedgórze Sudeckie,"50,8650326; 16,7086150","50,8650326","16,7086150",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE
Rysy,2499,Tatry,,"49,1795480; 20,0880640","49,1795480","20,0880640",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE
Wysoka Kopa,1126,Góry Izerskie,Sudety Zachodnie,"50,8500000; 15,4194444","50,8500000","15,4194444",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,
Śnieżka,1603,Karkonosze,Sudety Zachodnie,"50,7360171; 15,7399457","50,7360171","15,7399457",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE
Skopiec,724,Góry Kaczawskie,Sudety Zachodnie,"50,9444098; 15,8849806","50,9444098","15,8849806",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,
Skalnik,945,Rudawy Janowickie,Sudety Zachodnie,"50,8083333; 15,9013887","50,8083333","15,9013887",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,
Chełmiec,850,Góry Wałbrzyskie,,"50,7797222; 16,2119445","50,7797222","16,2119445",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,TRUE
Waligóra,936,Góry Kamienne,Sudety Środkowe,"50,6807508; 16,2780768","50,6807508","16,2780768",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE
Wielka Sowa,1015,Góry Sowie,Sudety Środkowe,"50,6803449; 16,4854977","50,6803449","16,4854977",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,FALSE,TRUE
Orlica,1084,Góry Orlickie,,"50,3500000; 16,3500000","50,3500000","16,3500000",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,
Kłodzka Góra,765,Góry Bardzkie,Sudety Środkowe,"50,4516525; 16,7532116","50,4516525","16,7532116",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,
Jagodna,977,Góry Bystrzyckie,Sudety Środkowe,"50,2527777; 16,5666666","50,2527777","16,5666666",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,
Śnieżnik,1425,Masyw Śnieżnika,Sudety Wschodnie,"50,2075190; 16,8473626","50,2075190","16,8473626",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,FALSE,
Kowadło,989,Góry Złote,,"50,2638888; 17,0138888","50,2638888","17,0138888",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Rudawiec,1112,Góry Bialskie,,"50,244770; 16,976879","50,244770","16,976879",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,
